state_load,state_hour,state_pv,state_battery_soc,state_capa_to_charge,state_capa_to_discharge,state_grid_status,state_grid_co2,state_grid_price_import,state_grid_price_export,state_co2_emission,state_pv_load_diff,state_cost,state_normalized_cost,state_prev_load,state_prev_pv,state_prev_grid_price_import,state_prev_grid_co2,state_prev_action_grid_import,state_cost_co2,state_sum_load,action_battery_power,config_starting_time_step,config_cost_battery,episode,iteration
7691.242624882575,4.0,0.0,0.2,58048.88888888889,0.0,1.0,0.298817415,0.2,0.0,2217.2715436273197,-7691.242624882575,838.85397482893,0.0,7714.085255827475,0.0,0.08,0.28743155800000003,7714.085255827475,0.1,543229.6437556096,0,0,0,0,292
8808.288339598068,5.0,0.0,0.2,58048.88888888889,0.0,1.0,0.297423703,0.2,0.0,2298.2772393052255,-8808.288339598068,1768.0762489070376,0.0,7691.242624882575,0.0,0.2,0.298817415,7691.242624882575,0.1,543229.6437556096,0,0,0,0,293
16806.955839524664,6.0,0.0,0.2,58048.88888888889,0.0,1.0,0.298965968,0.2,0.0,2619.7937350549787,-16806.955839524664,2023.6370414251116,0.0,8808.288339598068,0.0,0.2,0.297423703,8808.288339598068,0.1,543229.6437556096,0,0,0,0,294
22586.052206447297,7.0,4040.4949370764753,0.2,58048.88888888889,0.0,1.0,0.304437182,0.2,0.0,5024.707821696744,-18545.557269370824,3863.861950074607,0.0,16806.955839524664,0.0,0.2,0.298965968,16806.955839524664,0.1,543229.6437556096,0,0,0,0,295
22589.107092053473,8.0,15594.892739593413,0.2,58048.88888888889,0.0,1.0,0.305210932,0.2,0.0,5645.957193706868,-6994.21435246006,4273.707173244852,0.0,22586.052206447297,4040.4949370764753,0.2,0.304437182,18545.557269370824,0.1,543229.6437556096,0,0,0,0,296
23135.12896244108,9.0,23037.909728944815,0.2,58048.88888888889,0.0,1.0,0.305708366,0.2,0.0,2134.710681122111,-97.21923349626377,1612.313938604223,0.0,22589.107092053473,15594.892739593413,0.2,0.305210932,6994.21435246006,0.1,543229.6437556096,0,0,0,0,297
23233.67829018499,10.0,28779.665692158753,0.2,58048.88888888889,0.0,1.0,0.304586211,0.2,0.0,29.720733015915265,5545.987401973762,22.41592000084428,0.0,23135.12896244108,23037.909728944815,0.2,0.305708366,97.21923349626377,0.1,543229.6437556096,0,0,0,0,298
23145.579374623834,11.0,30055.61146176185,0.27643195255763553,52502.901486915114,4492.24979559875,1.0,0.301210209,0.2,0.0,0.0,6910.032087138017,0.0,0.0,23233.67829018499,28779.665692158753,0.2,0.304586211,0.0,0.1,543229.6437556096,5545.987401973762,0,0,0,299
22629.470693707513,12.0,27503.719922555658,0.37166246903300826,45592.869399777104,10089.375786180544,1.0,0.300977316,0.2,0.0,0.0,4874.249228848144,0.0,0.0,23145.579374623834,30055.61146176185,0.2,0.301210209,0.0,0.1,543229.6437556096,6910.032087138017,0,0,0,300
22732.271689273868,13.0,20840.447570183926,0.43883687077810174,40718.62017092897,14037.517661547543,1.0,0.297289366,0.08,0.0,0.0,-1891.8241190899425,0.0,0.0,22629.470693707513,27503.719922555658,0.2,0.300977316,0.0,0.1,543229.6437556096,4874.249228848144,0,0,0,301
